textID,text,selected_text,sentiment,Time of Tweet,Age of User,Country,Population -2020,Land Area (Km²),Density (P/Km²)
2e7082d1c8,MAYDAY?!,MAYDAY?!,neutral,morning,0-20,Cuba,11326616,106440.0,106
ef12a3d183, i talk to you,i talk to you,neutral,morning,46-60,Afghanistan,38928346,652860.0,60
94f67cfa6d, hey mia!  totally adore your music.  when will your cd be out?,y adore,positive,morning,46-60,Norway,5421241,365000.0,15
328a0e76bd,My modem has been offline for a week now... God bless the 3g network. Tim just left... Again!! May schedule has been brutal,brutal,negative,noon,21-30,South Sudan,11193725,610952.0,18
4213627c3c,I still smell of smoke  #kitchenfire,I still smell of smoke  #kitchenfire,neutral,noon,60-70,Guinea-Bissau,1968001,28120.0,70
7e7bc11e45,"Oh, I HELLA forgot to say my official good morning  Like to hear it? Here it go! Goooooooooooood Morrrrrrrrning Twitterville! Lol",Goooooooooooood Morrrrrrrrning,positive,night,70-100,Vietnam,97338579,310070.0,314
bbe3cbf620,test test from the LG enV2,test test from the LG enV2,neutral,night,31-45,Barbados,287375,430.0,668
f29df52d91, I want to know when the auditions are Mander! Text or...reply please!,I want to know when the auditions are Mander! Text or...reply please!,neutral,morning,0-20,Timor-Leste,1318445,14870.0,89
2207d982bc,4am. And Im on the beach. Pretty,Pretty,positive,noon,60-70,Luxembourg,625978,2590.0,242
4b61dffbeb,i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,soooooo sleeeeepy!!!,negative,night,31-45,Comoros,869601,1861.0,467
e56eeb4968,Few Bevvies 2day in twn..great on a day off!!,great,positive,morning,0-20,Sweden,10099265,410340.0,25
a0a306868a,lost my tooth 2day whilst i was eating gum...oww,oww,negative,morning,46-60,Vanuatu,307145,12200.0,25
6903cb08f2, Nice to see you tweeting!  It`s Sunday 10th May and we`re celebrating Mother`s Day here today. So be nice to yer Mom,e nice,positive,night,31-45,Panama,4314767,74340.0,58
99b7ec4b0b, ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,ACSM. it`s unfathomable.  i think the other one .. and the .. is one that should be kept to the comfort of our bedrooms. yes?,neutral,night,70-100,Monaco,39242,1.0,26337
66057d58c2,"Not looking forward to next week: Maths, Geography, English and French exams, totalling 7 hours",Not looking forward,negative,night,31-45,Netherlands,17134872,33720.0,508
5b578d0b4c,"Just opened a facebook account, I`m a little confused I don`t really get it. Twitter seems much better",better,positive,noon,60-70,Montenegro,628066,13450.0,47
7e4ed52c4a,Hate fighting,Hate fighting,negative,morning,0-20,Rwanda,12952218,24670.0,525
6649f3558c, Not a prob hun,Not a prob,positive,night,70-100,Niger,24206644,1266700.0,19
43e9a93104,So many tests todayyy  I don`t feel confident about anyy.,I don`t feel confident,negative,noon,21-30,Montenegro,628066,13450.0,47
0b5c2a7d7c,"downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol","downloading songs while trying to sneak a lil homework in too, which should be my main priority not songs lol",neutral,morning,46-60,Brunei,437479,5270.0,83
4ea61dbc7a, what`s the matter chickadee?,what`s the matter chickadee?,neutral,night,31-45,North Macedonia,2083374,25220.0,83
7162d447ab,first night in myers. just not the same w/out lydia!  but i`m actually excited about this summer!,excited,positive,noon,21-30,Switzerland,8654622,39500.0,219
a4b0888da6, haha yes,haha yes,neutral,noon,21-30,Gabon,2225734,257670.0,9
e3a1b65ef3,Going to miss my roomie ... We will no longer be roomies starting tomorrow,miss,negative,night,31-45,Lesotho,2142249,30360.0,71
d21ab5855b," Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.","Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral,noon,60-70,Chad,16425864,1259200.0,13
89d5b3f0b5,  Thanks,Thanks,positive,night,31-45,Italy,60461826,294140.0,206
997a62f83f,"These kids are terrible! If I was in Good Evans, I`d call Childline",terrible!,negative,morning,46-60,Qatar,2881053,11610.0,248
9b11b686ec,happy 1 year! <3,happy 1 year! <3,positive,noon,60-70,Venezuela,28435940,882050.0,32
cb774db0d1," I`d have responded, if I were going","I`d have responded, if I were going",neutral,morning,0-20,Afghanistan,38928346,652860.0,60
358bd9e861," Sons of ****, why couldn`t they put them on the releases we already bought","Sons of ****,",negative,noon,60-70,Angola,32866272,1246700.0,26
28dbada620, *phew*  Will make a note in case anyone else runs into the same issueÃ¯Â¿Â½,*phew*  Will make a note in case anyone else runs into the same issueÃ¯Â¿Â½,neutral,morning,0-20,Yemen,29825964,527970.0,56
b159318d76,Bah a coworker ran into work late and her bag smacked into my knee  it really hurts now,hurts,negative,night,31-45,"Eswatini (fmr. ""Swaziland"")",1160164,17200.0,67
684081e4e7,"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK","RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",neutral,noon,21-30,Cyprus,1207359,9240.0,131
234093bef1, which means you`re just going to have to come back to vancouver and have it our way! hahah,which means you`re just going to have to come back to vancouver and have it our way! hahah,neutral,morning,0-20,Bosnia and Herzegovina,3280819,51000.0,64
e4e9b8713a,My back hurts...really bad,.really bad,negative,noon,60-70,Somalia,15893222,627340.0,25
7e1757d4f0,"Unfortunatley, AerLingus no longer fly to Copenhagen so we`re have to fly Ryanair to Billund and drive up to Copenhagen one of the days!","Unfortunatley,",negative,noon,60-70,Romania,19237691,230170.0,84
088c60f138,my boss is bullying me...,bullying me,negative,night,31-45,Algeria,43851044,2381740.0,18
4700be3234,just got up and updated my ipod,just got up and updated my ipod,neutral,noon,21-30,Belgium,11589623,30280.0,383
2ece7f3810,  hope he is ok!,hope,positive,night,31-45,Guyana,786552,196850.0,4
ae21c1ac38,The exception for a short dude: Larenz fineass Tate yum,The exception for a short dude: Larenz fineass Tate yum,neutral,night,31-45,Chile,19116201,743532.0,26
ddf296dffa,egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,SUCKKKKKK,negative,noon,60-70,Denmark,5792202,42430.0,137
6ed347b1a5,Finally got a call for marriage counseling 3 days late....,Finally got a call for marriage counseling 3 days late....,neutral,noon,60-70,United Arab Emirates,9890402,83600.0,118
c9091836ce,"My frist post... Off to find a new car for my parents, exciting!",exciting!,positive,noon,21-30,Romania,19237691,230170.0,84
e5c6a6bb5a, yes! sober HAHAHA tanghaling tapat dude! haha WILD. i don`t knowwww  plan plan  before you go to US!,HAHAHA,positive,night,31-45,Belize,397628,22810.0,17
1d6411e9dd,"failed inspection. Did you know you can pass wo/oven, but not wo/anti-tip bracket, which is only sold w/oven? This is worse than taxes.",This is worse than taxes.,negative,morning,46-60,Cambodia,16718965,176520.0,95
02c004bc2d,I am tres depressed,depressed,negative,night,70-100,Jordan,10203134,88780.0,115
799f65f193, Yes it does. Please dont` go. If you die I will cry.. which normally leads to small animals getting harmed,g harmed,negative,night,31-45,Ghana,31072940,227540.0,137
242d92151a,Walking to class. I hate not having a bike....especially mine.,I hate not having a bike..,negative,noon,21-30,Côte d'Ivoire,26378274,318000.0,83
04dd1d2e34,i want to go to music tonight but i lost my voice.,lost,negative,noon,21-30,Bangladesh,164689383,130170.0,1265
8407ac30b0, I`m sad that I missed you guys last night!,sad,negative,morning,46-60,Ukraine,43733762,579320.0,75
e1546f901a,FTSK and Mercy Mercedes were amazing tonight.. as always,were amazing tonight..,positive,noon,21-30,Guinea-Bissau,1968001,28120.0,70
a9d499e123,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral,morning,46-60,Democratic Republic of the Congo,89561403,2267050.0,40
1b6380b1b3,Getting ready for week  Its too nice today to be stuck inside working!,Its too nice,positive,noon,60-70,Japan,126476461,364555.0,347
4e6a5c0034,"_Laurie sending love, blessings & healing thoughts to you & family  peace","sending love, blessings & healing thoughts to you & family  peace",positive,morning,46-60,Solomon Islands,686884,28000.0,25
af90ad5989," Poor you  Get outside and sleep in the garden, the sun will do you good. But don`t forget suncream!!!",Poor you,negative,morning,46-60,New Zealand,4822233,263310.0,18
e00c6ef376,"the free fillin` app on my ipod is fun, im addicted","the free fillin` app on my ipod is fun, im addicted",positive,noon,21-30,Bulgaria,6948445,108560.0,64
4cd390c007,"Still no reply from  about my SimFinger problem  So no iRape parody video until I get a response, sorry guys",", sorry guys",negative,morning,0-20,Jamaica,2961167,10830.0,273
8f3e73cf09,"Screw the reviews, I thought Wolverine was awesome. But not enough Dominic Monaghan for my liking.",I thought Wolverine was awesome.,positive,morning,46-60,China,1439323776,9388211.0,153
d93afa85cf," Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting","Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral,noon,60-70,Costa Rica,5094118,51060.0,100
90f3d2b572, what fun are you speaking of?,what fun are you speaking of?,neutral,night,70-100,Finland,5540720,304000.0,18
7a718b23ef,_Sanderson What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,What`s with Twatter lately?  Either I can`t get on or the replies don`t turn up!,neutral,noon,21-30,Angola,32866272,1246700.0,26
447dc22c81, hemp cloth is marvelous but unfortunately no,unfortunately,negative,noon,21-30,Libya,6871292,1759540.0,4
58c435d2cf, more nightmares?  *huggles*,more nightmares?  *huggles*,neutral,night,70-100,Australia,25499884,7682300.0,3
a6fccce9db,should be sleeping.  lost my voice a couple day ago.,lost my voice,negative,night,31-45,Antigua and Barbuda,97929,440.0,223
38271074d1,I`m starving!! This diet is killing me but I can`t eat after 8pm,This diet is killing me,negative,night,31-45,Zimbabwe,14862924,386850.0,38
7436ec1a2c," yeah I was thinking about that ,ahaha",",ahaha",positive,night,70-100,Ecuador,17643054,248360.0,71
a54d3c2825," I know   It was worth a shot, though!",as wort,positive,morning,46-60,Mongolia,3278290,1553560.0,2
96a4ce0d47,almost died. Laptop screen was set to 100% brightness after I reinstalled Windows Vista. Got a headache now  #insanedefaults,died.,positive,morning,0-20,Ethiopia,114963588,1000000.0,115
561b44a42f, have a safe trip joshy poo.......you`ll knock them dead at your speech,safe,positive,morning,0-20,Mauritania,4649658,1030700.0,5
187494c25b," If you know such agent, do let me know","If you know such agent, do let me know",neutral,morning,46-60,Guinea,13132795,246000.0,53
ea3320d696,"Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love","Before I get too distracted, I`d like to thank my new followers for taking the trouble to follow me! And to my others: feelin the love",positive,noon,60-70,North Korea,25778816,120410.0,214
16fab9f95b,I really really like the song Love Story by Taylor Swift,like,positive,night,70-100,Bahamas,393244,10010.0,39
d22e6d40a7,Went to sleep and there is a power cut in Noida  Power back up not working too,Power back up not working too,negative,night,70-100,Cabo Verde,555987,4030.0,138
61a8e11e8a," CASEY`S GONE?!?! BUT WHY?! So, she piddled a little on the carpet. She`s prolly freaked cause it`s new. Can we get her back?",freaked,negative,morning,0-20,Liberia,5057681,96320.0,53
f0db54f5bf,im soo bored...im deffo missing my music channels,bored..,negative,noon,60-70,Albania,2877797,27400.0,105
9668542b2a,Argh noo! Missed The Killers on Wossy!  That sucks! Missed out on Brandon. Total failure! Anyone know if it`s repeated? Must investigate!,That sucks!,negative,night,31-45,Russia,145934462,16376870.0,9
94bd67443c,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,OK - I`m out of here for now. Just popped in to say Hi and check on things. I`ll probably head to the guttah later on tonight,neutral,morning,46-60,Hungary,9660351,90530.0,107
3e880ec28d,  WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,WHAT ABOUT ME ??  I VOTE EVERY DAY FOR YOU !!!!!,negative,noon,21-30,Zambia,18383955,743390.0,25
15e01e1749," Certainly not Cheers than, huh?","Certainly not Cheers than, huh?",neutral,night,70-100,Madagascar,27691018,581795.0,48
e70d294d95,@_Ra_Ra_ your not alone...i need coffee too.,your not alone...i need coffee too.,neutral,noon,60-70,Bulgaria,6948445,108560.0,64
9d3a1e0269,really hopes her car`s illness is not terminal...,illness,negative,noon,60-70,Tunisia,11818619,155360.0,76
6402e14398,"Wolverine Was BOSS! Seriously, And Will.I.Am Was In It, What The **** ??","Seriously,",negative,night,31-45,Equatorial Guinea,1402985,28050.0,50
95e12b1cb1,  He`s awesome... Have you worked with him before? He`s a good friend.,s awesome,positive,morning,0-20,Greece,10423054,128900.0,81
cb1b0d191d,"missed all the awesome weather, because she was in a movie!","missed all the awesome weather,",negative,noon,21-30,Poland,37846611,306000.0,124
4f5267ad70,"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4","Thats it, its the end. Tears for Fears",neutral,night,70-100,Chile,19116201,743532.0,26
5680a0b488, u think u have bills Ha!Ii just finished paying mine that`s y I`m broke,I`m broke,negative,night,70-100,North Macedonia,2083374,25220.0,83
3fcea4debc, which case? I got a new one last week and I`m not thrilled at all with mine.,d I`m not thrilled at all with mine.,negative,noon,21-30,Dominican Republic,10847910,48300.0,225
2339a9b08b," as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff","as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",neutral,noon,60-70,Azerbaijan,10139177,82658.0,123
151c10cc39,"JONAS BROTHERS - Live to party.                It`s rocking so hard     I love the song,",JONAS BROTHERS - Live to party.                It`s rocking so hard,positive,noon,60-70,Cameroon,26545863,472710.0,56
ef74bab7f3," Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.","Congrats!  I cuss like that in a matter of minutes, But didn`t know until now there is a reward for it.",neutral,night,70-100,Peru,32971854,1280000.0,26
4c71b5fb91,2 days without sleep and now a migraine. I thought life postR01 was meant to be relaxing,now a migraine.,negative,morning,46-60,Palau,18094,460.0,39
d421fbd332,"Thank you, Afrin Nasal Spray! Also, I got a giant teacup tonight!","Thank you,",positive,noon,60-70,Moldova,4033963,32850.0,123
7df7221145,  that`s why I need to be there...To represent the Blackberries,that`s why I need to be there,positive,morning,0-20,Democratic Republic of the Congo,89561403,2267050.0,40
82b75647fd,We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,We`re having an impromptu pool party... Except I don`t know how to swim so I can`t get in,neutral,night,31-45,Uzbekistan,33469203,425400.0,79
1996048e7a,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....,i wish,positive,morning,46-60,Papua New Guinea,8947024,452860.0,20
97334eb7c0,"Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning","Well good morning all, What a wonderful day in the neighborhood  Thanks for all those that are now following another 60 this morning",positive,morning,0-20,Guinea,13132795,246000.0,53
29dfaf5e3b,"Shopping. Cleaning. BMFing. Webcam chatting with nephews. Nothing spesh, but a good bank holiday Monday nonetheless",good,positive,noon,60-70,Oman,5106626,309500.0,16
09ad12cc5c,"discovered cause of a bug in the new #NetPLAYER 4 build. Publishing bug fix now, hopefully new beta by tomorrow",hopefully,positive,night,70-100,Gambia,2416668,10120.0,239
061eb4c0de, I am lost. Please help me find a good home.,I am lost.,negative,noon,60-70,Saint Kitts and Nevis,53199,260.0,205
c3924dc9e4,:visiting my friendster and facebook,:visiting my friendster and facebook,neutral,night,70-100,Djibouti,988000,23180.0,43
bc02870b7d,URL in previous post (to timer job) should be http://bit.ly/a4Fdb. I`d removed space which messed up URL.  ^ES,messed,negative,noon,60-70,Tanzania,59734218,885800.0,67
9d2cffd953," I had it! On my itunes, but then I lost all my songs.","I had it! On my itunes, but then I lost all my songs.",neutral,morning,0-20,Nauru,10824,20.0,541
4a1ce7dc3b,Night of the cookers with my dad,Night of the cookers with my dad,neutral,morning,0-20,South Korea,51269185,97230.0,527
64ed512788,Sick. With a flu like thing.,Sick.,negative,night,70-100,Italy,60461826,294140.0,206
6086b1f016,will be back later.  http://plurk.com/p/rp3k7,will be back later.,neutral,morning,46-60,Ethiopia,114963588,1000000.0,115
2a5bb8d827," Happy b-day! Just woke up on this side of Earth, so wishes are bit late",Happy b-day!,positive,noon,60-70,Iran,83992949,1630000.0,52
7b69f49c42,tonight in party w/ my girls (minus vita),tonight in party w/ my girls (minus vita),positive,morning,0-20,Mali,20250833,1220190.0,17
c78bf59e67,  #lichfield #tweetup sounds like fun  Hope to see you and everyone else there!,p sounds like fun,positive,noon,60-70,Sudan,43849260,1765048.0,25
0c4aa867d0,"'you can ride one, you can catch one, but its not summer til you pop open one'  ?","'you can ride one, you can catch one, but its not summer til you pop open one'  ?",neutral,noon,21-30,Holy See,801,0.0,2003
9a6f4d05d5,"35mins through the 1hr 20mins Google Wave demo, that looks a lot of fun, would love to test it though.  http://bit.ly/WnMSc",would love to test it though.,positive,morning,0-20,Central African Republic,4829767,622980.0,8
20ec7c7c32,I WANT RED CRUISERS!!  i don`t like the other ones. LMFAO!,i don`t like the other ones.,negative,noon,60-70,Seychelles,98347,460.0,214
9843c4688e, hahaa your awesomee !,hahaa your awesomee !,positive,morning,46-60,Mozambique,31255435,786380.0,40
c6d0c7676c, Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,Namaskar & Namaste r both the same. Marathi people say Namaskar! its a marathi word.... should i ? ...naaaah !,neutral,noon,60-70,Paraguay,7132538,397300.0,18
bbbc46889b, THANK YYYYYYYYYOOOOOOOOOOUUUUU!,THANK YYYYYYYYYOOOOOOOOOOUUUUU!,positive,night,31-45,Iraq,40222493,434320.0,93
ba83f744d8,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,You know your neck is jacked up when you are forced to pay for parking bc you can`t turn you head to parallel park in the free spaces...,negative,morning,0-20,Latvia,1886198,62200.0,30
2f5c77dfb3, oh nice going!,oh nice going!,positive,night,31-45,San Marino,33931,60.0,566
4bda359cbb,Done at the spa   now meeting vic for some late lunch!,Done at the spa   now meeting vic for some late lunch!,neutral,noon,21-30,Costa Rica,5094118,51060.0,100
a91ca2ffae," *laughs* I`m glad that you have self confidence - it`s a wonderful trait to have  I`ll applaud extra loud for it, okay?",glad,positive,noon,21-30,Israel,8655535,21640.0,400
d8ba2a99a9, romance zero is funny,romance zero is funny,positive,morning,0-20,Eritrea,3546421,101000.0,35
2863f435bd,"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",A little happy fo,positive,morning,46-60,Congo (Congo-Brazzaville),5518087,342000.0,16
5e4eac2b2e, its the best show EVER!,its the best show EVER!,positive,morning,46-60,Tajikistan,9537645,139960.0,68
ae71041e21,Candle wax is very enjoyable.,enjoyable.,positive,noon,60-70,Samoa,198414,2830.0,70
cd0d522bb1,"His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.","His snoring is so annoying n it keeps me from sleeping (like right now, lol) but I honestly wud miss it if it eva left  I love him.",neutral,morning,46-60,Kazakhstan,18776707,2699700.0,7
c5645758be,"Trying to decide on a movie with the friends.. not going to well! lol :p  No bible study 2nite, which means ****-day cake  buy my own??",not going to well!,negative,night,31-45,Finland,5540720,304000.0,18
ce69e99e71,I`m not sleeping at all until  accepts my appology,I`m not sleeping at all un,negative,noon,21-30,El Salvador,6486205,20720.0,313
fa2654e730,Chilliin,Chilliin,positive,night,31-45,Guatemala,17915568,107160.0,167
2dc0dc0d5d,Grabbing coffee from  then making mom breakfast,Grabbing coffee from  then making mom breakfast,neutral,morning,46-60,Bahrain,1701575,760.0,2239
0c0563423e, Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers.,Miles from you   I`m in Essex so give me plenty of warning so I can arrive in time to get at least one of those free beers,neutral,night,31-45,Jordan,10203134,88780.0,115
15d5f3a41b," also bored at school, its my third freelesson( freistunde )","also bored at school, its my third freelesson( freistunde )",neutral,morning,46-60,Egypt,102334404,995450.0,103
d33f811375,I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,Quite....heavenly,positive,morning,0-20,Cambodia,16718965,176520.0,95
703afdc44b,Aw. Torn ace of hearts  #Hunchback,Torn ace of hearts,negative,noon,60-70,Fiji,896445,18270.0,49
3e67a75303,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,Today is going to be a normal day for I hope. We had a group of pilots from a large airline come in last night so it was too much drink,neutral,night,31-45,Portugal,10196709,91590.0,111
a76f9cf8ce, SWEEEEET - San Fran is awesome!!!!  Love it there,Love it there,positive,morning,0-20,Kuwait,4270571,17820.0,240
1c31703aef, If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,well so much for being unhappy for about 10 minute,negative,night,31-45,Canada,37742154,9093510.0,4
5069ae7a15," I watched that too!!! I didnt want her to win, but she put up a good fight..lol","I watched that too!!! I didnt want her to win, but she put up a good fight..lol",neutral,noon,21-30,Saint Kitts and Nevis,53199,260.0,205
97625460cf, ok then,ok then,neutral,night,70-100,United Kingdom,67886011,241930.0,281
b948984e8d,Mmmmmmmm... ? it in the morning,Mmmmmmmm... ? it in the morning,neutral,night,70-100,Sierra Leone,7976983,72180.0,111
0c8cc71c46,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,neutral,morning,0-20,Brunei,437479,5270.0,83
0cb4504f2c,Sleepy Tabz is heading to bed.  Fun night! Listened through the next episode of Joss`d!,Fun night!,positive,noon,21-30,Chad,16425864,1259200.0,13
11084dac09, it is ****...u have dissappointed me that past few days,it is ****...u have dissappointed me that past few days,negative,night,70-100,Equatorial Guinea,1402985,28050.0,50
5f93cc70ff,Bugger. forgot I still have washing in my machine,Bugger. forgot I still have washing in my machine,negative,night,31-45,Slovenia,2078938,20140.0,103
e050245fbd, Both of you,Both of you,neutral,night,31-45,Australia,25499884,7682300.0,3
e6ee6826df,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy.,I AM SUCH A CREEPER  I feel disappointed because of it. **** my cyberstalking skills   the internet = no more privacy,negative,morning,0-20,Austria,9006398,82400.0,109
